r_returns,r_envelope,c_surr_mean,c_surr_std,gap,z,meta_pulse,group,tickers
0.3128307706027681,0.4005933944607054,0.008566923770461777,0.00557132956709555,0.39202647069024366,6.0,0.9955037268390589,CORE,"VTIP, SIZE, PPLT, SLV, ARCC"
0.29372135721353765,0.3234832417417389,0.008675432202991575,0.00498771897095034,0.3148078095387474,6.0,0.9955037268390589,CORE,"JD, ARKX, PRGFX, FNDX, HOLX"
0.39925326248989473,0.3881278883856682,0.007811272602962942,0.004967511240235321,0.38031661578270526,6.0,0.9955037268390589,CORE,"GLD, BYDDF, TRRDX, UNG, FBGRX"
0.35755133048316484,0.3981105464427514,0.008468438900538566,0.005702437196006817,0.38964210754221285,6.0,0.9955037268390589,CORE,"TTMI, WEAT, ICE, ARR, PGX"
0.40050598173644164,0.39975213789790204,0.008960428621378677,0.004817948710414496,0.39079170927652335,6.0,0.9955037268390589,CORE,"COMT, PRWCX, ITOT, DGRO, BKLN"
0.45205504723972656,0.4978996763323891,0.0093223903559673,0.003886871969876273,0.48857728597642175,6.0,0.9955037268390589,CORE,"QUAL, ARCC, PRILX, SIZE, VTIP"
0.3404946450178939,0.3415939802373355,0.008502112030541234,0.0056292315732574694,0.33309186820679426,6.0,0.9955037268390589,CORE,"HFFG, ARKW, FDS, HYG, GSG"
0.42263334854314094,0.39527283279487596,0.008640919757333014,0.005808929766773511,0.38663191303754296,6.0,0.9955037268390589,CORE,"HOLX, GTLS, PGX, LYB, IAU"
0.47454002675166146,0.537549861778078,0.008011415780805047,0.005157861937597139,0.529538445997273,6.0,0.9955037268390589,CORE,"COMT, WCLD, ARKQ, FZROX, MPLX"
0.3112120394057979,0.3035996508897791,0.007520952890672117,0.004873351112866101,0.29607869799910697,6.0,0.9955037268390589,CORE,"WDC, KOLD, SNBR, EA, FXI"
0.3663751661969521,0.39504234473263167,0.00997456316888761,0.006054259602143464,0.38506778156374405,6.0,0.9955037268390589,CORE,"PRILX, STX, COMT, FXAIX, CSGP"
0.5764220124785325,0.5879546673340604,0.00832836687819511,0.006194609659144698,0.5796263004558653,6.0,0.9955037268390589,CORE,"VUG, PRGFX, TRRBX, PRILX, XLY"
0.3789669365867655,0.3900993774723344,0.0071979838415188934,0.006060030393403526,0.38290139363081555,6.0,0.9955037268390589,CORE,"PGX, VUG, FZROX, COMT, SHYG"
0.51055463559185,0.5054654762356849,0.007100063889937188,0.006124746803641924,0.49836541234574777,6.0,0.9955037268390589,CORE,"XLC, IVV, VIG, ARKX, TRRDX"
0.37830110127508837,0.3990391756885604,0.00959452932155896,0.006029171741603367,0.38944464636700143,6.0,0.9955037268390589,CORE,"BKLN, PNR, FTEC, GSG, TRLGX"
0.5125900214243538,0.48682662049731457,0.007234571119104845,0.006580738502023676,0.4795920493782097,6.0,0.9955037268390589,CORE,"FXAIX, CTAS, WCLD, FINX, FDS"
0.3611175318498289,0.33576683302595006,0.009026963187467598,0.004770972072969546,0.32673986983848247,6.0,0.9955037268390589,CORE,"JNK, PGX, FRPT, SRLN, SYPR"
0.29913382406143935,0.2973962281760659,0.008768424231205383,0.005358076273909991,0.28862780394486054,6.0,0.9955037268390589,CORE,"PSJ, SMCI, SIRI, DBA, TNET"
0.3672796542905306,0.3482808162836688,0.007779718977871619,0.00512295424921831,0.3405010973057972,6.0,0.9955037268390589,CORE,"EMB, TTMI, IWF, BYDDF, EA"
0.26073403697055736,0.3294833437647306,0.008871098418546887,0.005985688567857429,0.3206122453461837,6.0,0.9955037268390589,CORE,"WDC, DIA, DBA, HUN, SYPR"
0.4363659425525085,0.35758538449309984,0.007665779109060779,0.0055480487619809045,0.34991960538403905,6.0,0.9955037268390589,CORE,"QUAL, PRGFX, VNDA, CTAS, SIRI"
