state,ch_idx,SCI,gap,ch_name
moderate,2,0.8356310243557689,0.1012991939628799,E4
moderate,3,0.8345363509853605,0.10023918396150007,E5
moderate,4,0.8330023845902546,0.09902071073456119,E6
moderate,5,0.8138302259087766,0.0954750117475189,E7
moderate,6,0.838544011261703,0.09900931277063048,Fp2
moderate,7,0.8370071846714378,0.10086843870311875,E10
moderate,8,0.8383787436114535,0.10198627582753383,Fz
moderate,9,0.8307672869393267,0.099324992100527,E12
moderate,10,0.8244639028171663,0.09788366032879983,E13
moderate,11,0.834441262248324,0.09783789611909749,E15
moderate,12,0.8321951424829124,0.09984048385924589,E16
moderate,13,0.8287926328699754,0.09869806027459975,E18
moderate,14,0.8373889689556359,0.10230764047460461,E19
moderate,15,0.8257834316876643,0.09778137048012378,E20
moderate,16,0.8348605382954115,0.09654008883806792,Fp1
moderate,17,0.8249819280166847,0.09450091631183412,E23
moderate,18,0.8220417345668254,0.0957068759505714,F3
moderate,19,0.8195202462516107,0.09164506763415932,E26
moderate,20,0.8232156334285161,0.09515936838651211,E27
moderate,21,0.8198434474308005,0.09463771054302664,E28
moderate,22,0.8215946559307901,0.09702298508118708,E29
moderate,23,0.8015545316755173,0.09080860942649228,E30
moderate,24,0.7844959355699023,0.08341705060876328,E31
moderate,25,0.7928430650505861,0.08307923537027119,F7
moderate,26,0.8033853450561784,0.08888694253714267,E34
moderate,27,0.7967171068443,0.08729967019169313,E35
moderate,28,0.8034814606011281,0.08977086601940211,C3
moderate,29,0.7946582042395911,0.08704447080455874,E37
moderate,30,0.8107263152897008,0.08984362019111368,E39
moderate,31,0.7886150764563661,0.08371248895819497,E40
moderate,32,0.7972677784362955,0.08675068329151432,E41
moderate,33,0.8019512497551945,0.08861949556836134,E42
moderate,34,0.8050490255924208,0.08723823141467035,T3
moderate,35,0.7974191629149343,0.08507295794615048,E46
moderate,36,0.7905689283534577,0.08380883620257346,E47
moderate,37,0.7980309020453951,0.08529217870614586,E50
moderate,38,0.7959361588052186,0.08483866186631527,E51
moderate,39,0.8212171888837678,0.09390578228107148,P3
moderate,40,0.7978259039978474,0.0873160617701948,E53
moderate,41,0.7943030828803239,0.08589374703597037,E54
moderate,42,0.8005379339299019,0.08779520210913241,E55
moderate,43,0.7903767510789486,0.08199087622044599,T5
moderate,44,0.7998481702671197,0.08537318835296949,E59
moderate,45,0.7979685498779203,0.08632138835955644,E60
moderate,46,0.7991677244110539,0.08725759573755769,E61
moderate,47,0.787626490466833,0.08286001676566708,Pz
moderate,48,0.7844234024686407,0.07785420599976497,E65
moderate,49,0.7923601901737509,0.08275033579566175,E66
moderate,50,0.7808608156934997,0.07981889671342893,E67
moderate,51,0.7703632425468822,0.07239415550780817,O1
moderate,52,0.7726348836432355,0.07676750895123627,E71
moderate,53,0.7711873624888537,0.07656839295544013,E72
moderate,54,0.7770975267687894,0.07658752911913212,Oz
moderate,55,0.7795457963175668,0.07925425621381005,E76
moderate,56,0.7843858003598859,0.08323771012987068,E77
moderate,57,0.7914293984009969,0.08313282777628044,E78
moderate,58,0.7954594541446891,0.08500266159827405,E79
moderate,59,0.8067290601621819,0.09151243321196847,E80
moderate,60,0.7893554007697209,0.08136822749730381,O2
moderate,61,0.7915734525361338,0.0846233728414428,E84
moderate,62,0.7896957804779123,0.08340065346552226,E85
moderate,63,0.7965719734294482,0.08529017078762903,E86
moderate,64,0.8035756848297962,0.08964639559563095,E87
moderate,65,0.7926046066736773,0.08415840114156081,E90
moderate,66,0.7993642330326377,0.08547516305038468,E91
moderate,67,0.8029833903652127,0.08667246943486454,P4
moderate,68,0.816621820237257,0.09462353331798386,E93
moderate,69,0.8114757909439012,0.09036443652985539,T6
moderate,70,0.7827382663407588,0.08013375380403574,E97
moderate,71,0.8018791895974173,0.08715415304813358,E98
moderate,72,0.7981462252142474,0.08601088063166254,E101
moderate,73,0.8005679932655774,0.08670766617897205,E102
moderate,74,0.800261522772509,0.08529721882057469,E103
moderate,75,0.8218222166172187,0.09450958126595602,C4
moderate,76,0.8103447346749364,0.09349689549246701,E105
moderate,77,0.8165674250354608,0.09477562738641551,E106
moderate,78,0.8169143267852489,0.09191852848940985,T4
moderate,79,0.8116291337278543,0.09016108860058768,E109
moderate,80,0.8132666251829572,0.09168404294161586,E110
moderate,81,0.8122197402248922,0.09427486415293204,E111
moderate,82,0.8154246028435981,0.09319554136997074,E112
moderate,83,0.8060754810109853,0.08554081944284567,E116
moderate,84,0.808516638811884,0.08833218254270109,E117
moderate,85,0.8264102388784101,0.09854088748664103,E118
moderate,86,0.8202511902652331,0.09553346387514412,F8
moderate,87,0.8106440575776988,0.08698642486427965,E123
moderate,88,0.8244975620405341,0.09483027962660291,F4
moderate,89,0.8336815600544719,0.10016183186196323,E115
moderate,90,0.8087183987499781,0.09344210781360693,Cz
recovery,0,0.7381202260502316,0.06388338975340858,E2
recovery,1,0.7213202862402645,0.06122606605716165,E3
recovery,2,0.7131763965335705,0.05916147835999217,E4
recovery,3,0.7066460487185423,0.05667271930046821,E5
recovery,4,0.7143947763977894,0.056633581691333965,E6
recovery,5,0.7099536372877531,0.055402234729818076,E7
recovery,6,0.7407739755464491,0.06748859807468485,Fp2
recovery,7,0.7289883266276118,0.06431568778535712,E10
recovery,8,0.7151403729744341,0.06009371523536625,Fz
recovery,9,0.7204806683484068,0.060586656963778074,E12
recovery,10,0.708148739328372,0.055873203658007464,E13
recovery,11,0.7391095175132771,0.06667203854123152,E15
recovery,12,0.7307278438905799,0.06507833862278493,E16
recovery,13,0.7255005968794844,0.06296405045500798,E18
recovery,14,0.7148338247815089,0.05916351436190929,E19
recovery,15,0.7267302768789108,0.061994815748406006,E20
recovery,16,0.7412849622334772,0.06565711368733325,Fp1
recovery,17,0.7235536151148474,0.061702023457469925,E23
recovery,18,0.7201088161496019,0.05914947709129801,F3
recovery,19,0.751944486156678,0.06946807529289983,E26
recovery,20,0.71916491995035,0.05929251703666224,E27
recovery,21,0.7124770899942461,0.05751746265675698,E28
recovery,22,0.7034924972058885,0.05603255399656863,E29
recovery,23,0.6982735694078703,0.05279723663969228,E30
recovery,24,0.7051842638834308,0.05315678401505908,E31
recovery,25,0.7257677618958007,0.06131422697276353,F7
recovery,26,0.7177281165733063,0.05958555414548683,E34
recovery,27,0.7004025073692544,0.05375648409324615,E35
recovery,28,0.720258294601206,0.05936480231405324,C3
recovery,29,0.7219191912588705,0.0602213300147512,E37
recovery,30,0.7347922678731159,0.06423718413792778,E39
recovery,31,0.707898920449121,0.0556072390837305,E40
recovery,32,0.727700123616321,0.06177422159311709,E41
recovery,33,0.7380519134766336,0.06549235715858279,E42
recovery,34,0.7246567792527961,0.059639191859809,T3
recovery,35,0.7268721870839809,0.060410915799769635,E46
recovery,36,0.7353793338498815,0.06378038629860236,E47
recovery,37,0.7143554724132137,0.05708725130946514,E50
recovery,38,0.6914033394905736,0.05098198460797768,E51
